"Sexo","Ano Base"
"Masculino","1996"
"Masculino","1996"
"Masculino","1996"
"Masculino","1996"
"Masculino","1996"
"Masculino","1996"
"Feminino","1996"
"Masculino","1996"
"Feminino","1996"
"Masculino","1996"
"Masculino","1996"
"Feminino","1996"
"Masculino","1996"
"Masculino","1996"
"Masculino","1996"
"Feminino","1996"
"Masculino","1996"
"Masculino","1996"
"Feminino","1996"
"Feminino","1996"
"Masculino","1996"
"Feminino","1996"
"Masculino","1996"
"Feminino","1996"
"Masculino","1996"
"Masculino","1996"
"Masculino","1996"
"Masculino","1996"
"Masculino","1996"
"Feminino","1996"
"Masculino","1996"
"Masculino","1996"
"Feminino","1996"
"Masculino","1996"
"Feminino","1996"
"Masculino","1996"
"Feminino","1996"
"Feminino","1996"
"Masculino","1996"
"Feminino","1996"
"Masculino","1996"
"Masculino","1996"
"Feminino","1996"
"Masculino","1996"
"Feminino","1996"
"Masculino","1996"
"Feminino","1996"
"Feminino","1996"
"Masculino","1996"
"Masculino","1996"
"Masculino","1996"
"Masculino","1996"
"Masculino","1996"
"Masculino","1996"
"Feminino","1996"
"Masculino","1996"
"Masculino","1996"
"Masculino","1996"
"Masculino","1996"
"Feminino","1996"
"Feminino","1996"
"Feminino","1996"
"Feminino","1996"
"Feminino","1996"
"Feminino","1996"
"Feminino","1996"
"Masculino","1996"
"Masculino","1996"
"Masculino","1996"
"Masculino","1996"
"Feminino","1996"
"Masculino","1996"
"Feminino","1996"
"Masculino","1996"
"Masculino","1996"
"Feminino","1996"
"Feminino","1996"
"Feminino","1996"
"Masculino","1996"
"Feminino","1996"
"Masculino","1996"
"Masculino","1996"
"Masculino","1996"
"Feminino","1996"
"Feminino","1996"
"Masculino","1996"
"Masculino","1996"
"Feminino","1996"
"Masculino","1996"
"Feminino","1996"
"Feminino","1996"
"Masculino","1996"
"Masculino","1996"
"Masculino","1996"
"Feminino","1996"
"Feminino","1996"
"Masculino","1996"
"Masculino","1996"
"Feminino","1996"
"Feminino","1996"
"Feminino","1996"
"Masculino","1996"
"Feminino","1996"
"Masculino","1996"
"Feminino","1996"
"Feminino","1996"
"Feminino","1996"
"Feminino","1996"
"Feminino","1996"
"Masculino","1996"
"Masculino","1996"
"Masculino","1996"
"Masculino","1996"
"Masculino","1996"
"Feminino","1996"
"Masculino","1996"
"Feminino","1996"
"Masculino","1996"
"Masculino","1996"
"Feminino","1996"
"Feminino","1996"
"Masculino","1996"
"Masculino","1996"
"Masculino","1996"
"Feminino","1996"
"Masculino","1996"
"Masculino","1996"
"Feminino","1996"
"Feminino","1996"
"Masculino","1996"
"Feminino","1996"
"Masculino","1996"
"Masculino","1996"
"Masculino","1996"
"Masculino","1996"
"Masculino","1996"
"Feminino","1996"
"Masculino","1996"
"Masculino","1996"
"Masculino","1996"
"Masculino","1996"
"Feminino","1996"
"Masculino","1996"
"Masculino","1996"
"Masculino","1996"
"Feminino","1996"
"Feminino","1996"
"Feminino","1996"
"Feminino","1996"
"Masculino","1996"
"Masculino","1996"
"Feminino","1996"
"Feminino","1996"
"Masculino","1996"
"Masculino","1996"
"Feminino","1996"
"Masculino","1996"
"Feminino","1996"
"Feminino","1996"
"Feminino","1996"
"Masculino","1996"
"Feminino","1996"
"Masculino","1996"
"Feminino","1996"
"Masculino","1996"
"Masculino","1996"
"Feminino","1996"
"Masculino","1996"
"Feminino","1996"
"Feminino","1996"
"Feminino","1996"
"Masculino","1996"
"Masculino","1996"
"Masculino","1996"
"Masculino","1996"
"Masculino","1996"
"Masculino","1996"
"Masculino","1996"
"Masculino","1996"
"Masculino","1996"
"Feminino","1996"
"Masculino","1996"
"Masculino","1996"
"Masculino","1996"
"Masculino","1996"
"Masculino","1996"
"Masculino","1996"
"Masculino","1996"
"Masculino","1996"
"Masculino","1996"
"Masculino","1996"
"Feminino","1996"
"Masculino","1996"
"Feminino","1996"
"Masculino","1996"
"Masculino","1996"
"Masculino","1996"
"Masculino","1996"
"Masculino","1996"
"Masculino","1996"
"Masculino","1996"
"Masculino","1996"
"Masculino","1996"
"Masculino","1996"
"Masculino","1996"
"Masculino","1996"
"Masculino","1996"
"Masculino","1996"
"Masculino","1996"
"Masculino","1996"
"Feminino","1996"
"Masculino","1996"
"Masculino","1996"
"Masculino","1996"
"Feminino","1996"
"Masculino","1996"
"Masculino","1996"
"Feminino","1996"
"Masculino","1996"
"Masculino","1996"
"Feminino","1996"
"Feminino","1996"
"Feminino","1996"
"Masculino","1996"
"Feminino","1996"
"Masculino","1996"
"Masculino","1996"
"Feminino","1996"
"Feminino","1996"
"Masculino","1996"
"Masculino","1996"
"Masculino","1996"
"Masculino","1996"
"Masculino","1996"
"Masculino","1996"
"Masculino","1996"
"Feminino","1996"
"Masculino","1996"
"Masculino","1996"
"Masculino","1996"
"Masculino","1997"
"Masculino","1997"
"Masculino","1997"
"Masculino","1997"
"Masculino","1997"
"Masculino","1997"
"Feminino","1997"
"Masculino","1997"
"Masculino","1997"
"Feminino","1997"
"Masculino","1997"
"Feminino","1997"
"Feminino","1997"
"Masculino","1997"
"Feminino","1997"
"Masculino","1997"
"Masculino","1997"
"Masculino","1997"
"Masculino","1997"
"Feminino","1997"
"Feminino","1997"
"Masculino","1997"
"Masculino","1997"
"Feminino","1997"
"Feminino","1997"
"Feminino","1997"
"Feminino","1997"
"Masculino","1997"
"Masculino","1997"
"Feminino","1997"
"Feminino","1997"
"Masculino","1997"
"Masculino","1997"
"Feminino","1997"
"Masculino","1997"
"Masculino","1997"
"Masculino","1997"
"Feminino","1997"
"Masculino","1997"
"Feminino","1997"
"Feminino","1997"
"Masculino","1997"
"Masculino","1997"
"Feminino","1997"
"Masculino","1997"
"Masculino","1997"
"Masculino","1997"
"Feminino","1997"
"Feminino","1997"
"Feminino","1997"
"Feminino","1997"
"Masculino","1997"
"Feminino","1997"
"Feminino","1997"
"Feminino","1997"
"Masculino","1997"
"Feminino","1997"
"Masculino","1997"
"Masculino","1997"
"Masculino","1997"
"Masculino","1997"
"Masculino","1997"
"Feminino","1997"
"Feminino","1997"
"Masculino","1997"
"Feminino","1997"
"Masculino","1997"
"Masculino","1997"
"Masculino","1997"
"Masculino","1997"
"Masculino","1997"
"Masculino","1997"
"Feminino","1997"
"Masculino","1997"
"Masculino","1997"
"Feminino","1997"
"Masculino","1997"
"Feminino","1997"
"Masculino","1997"
"Masculino","1997"
"Feminino","1997"
"Masculino","1997"
"Masculino","1997"
"Masculino","1997"
"Feminino","1997"
"Masculino","1997"
"Masculino","1997"
"Masculino","1997"
"Masculino","1997"
"Masculino","1997"
"Feminino","1997"
"Masculino","1997"
"Masculino","1997"
"Masculino","1997"
"Feminino","1997"
"Feminino","1997"
"Feminino","1997"
"Feminino","1997"
"Masculino","1997"
"Feminino","1997"
"Masculino","1997"
"Masculino","1997"
"Feminino","1997"
"Feminino","1997"
"Masculino","1997"
"Feminino","1997"
"Masculino","1997"
"Feminino","1997"
"Feminino","1997"
"Masculino","1997"
"Feminino","1997"
"Masculino","1997"
"Feminino","1997"
"Masculino","1997"
"Masculino","1997"
"Feminino","1997"
"Feminino","1997"
"Feminino","1997"
"Masculino","1997"
"Masculino","1997"
"Masculino","1997"
"Masculino","1997"
"Feminino","1997"
"Masculino","1997"
"Masculino","1997"
"Masculino","1997"
"Masculino","1997"
"Masculino","1997"
"Masculino","1997"
"Masculino","1997"
"Feminino","1997"
"Feminino","1997"
"Feminino","1997"
"Feminino","1997"
"Masculino","1997"
"Masculino","1997"
"Feminino","1997"
"Masculino","1997"
"Masculino","1997"
"Masculino","1997"
"Feminino","1997"
"Masculino","1997"
"Feminino","1997"
"Feminino","1997"
"Masculino","1997"
"Masculino","1997"
"Feminino","1997"
"Feminino","1997"
"Feminino","1997"
"Feminino","1997"
"Feminino","1997"
"Masculino","1997"
"Masculino","1997"
"Feminino","1997"
"Feminino","1997"
"Feminino","1997"
"Masculino","1997"
"Feminino","1997"
"Masculino","1997"
"Feminino","1997"
"Masculino","1997"
"Masculino","1997"
"Feminino","1997"
"Masculino","1997"
"Feminino","1997"
"Masculino","1997"
"Masculino","1997"
"Feminino","1997"
"Masculino","1997"
"Feminino","1997"
"Masculino","1997"
"Feminino","1997"
"Feminino","1997"
"Masculino","1997"
"Masculino","1997"
"Masculino","1997"
"Feminino","1997"
"Masculino","1997"
"Masculino","1997"
"Feminino","1997"
"Masculino","1997"
"Feminino","1997"
"Masculino","1997"
"Feminino","1997"
"Feminino","1997"
"Feminino","1997"
"Masculino","1997"
"Masculino","1997"
"Masculino","1997"
"Feminino","1997"
"Masculino","1997"
"Feminino","1997"
"Masculino","1997"
"Masculino","1997"
"Feminino","1997"
"Masculino","1997"
"Feminino","1997"
"Masculino","1997"
"Feminino","1997"
"Feminino","1997"
"Feminino","1997"
"Masculino","1997"
"Masculino","1997"
"Feminino","1997"
"Masculino","1997"
"Feminino","1997"
"Masculino","1997"
"Masculino","1997"
"Feminino","1997"
"Masculino","1997"
"Masculino","1997"
"Masculino","1997"
"Masculino","1997"
"Masculino","1997"
"Feminino","1997"
"Feminino","1997"
"Masculino","1997"
"Masculino","1997"
"Masculino","1997"
"Masculino","1997"
"Masculino","1997"
"Masculino","1997"
"Masculino","1997"
"Masculino","1997"
"Masculino","1997"
"Masculino","1997"
"Masculino","1997"
"Masculino","1997"
"Masculino","1997"
"Masculino","1997"
"Feminino","1997"
"Feminino","1997"
"Masculino","1997"
"Masculino","1997"
"Masculino","1997"
"Masculino","1997"
"Feminino","1997"
"Masculino","1997"
"Feminino","1997"
"Feminino","1998"
"Feminino","1998"
"Masculino","1998"
"Masculino","1998"
"Feminino","1998"
"Feminino","1998"
"Masculino","1998"
"Feminino","1998"
"Masculino","1998"
"Feminino","1998"
"Masculino","1998"
"Masculino","1998"
"Feminino","1998"
"Feminino","1998"
"Masculino","1998"
"Feminino","1998"
"Feminino","1998"
"Feminino","1998"
"Feminino","1998"
"Masculino","1998"
"Feminino","1998"
"Feminino","1998"
"Masculino","1998"
"Masculino","1998"
"Masculino","1998"
"Masculino","1998"
"Masculino","1998"
"Masculino","1998"
"Masculino","1998"
"Masculino","1998"
"Feminino","1998"
"Feminino","1998"
"Masculino","1998"
"Feminino","1998"
"Feminino","1998"
"Masculino","1998"
"Masculino","1998"
"Feminino","1998"
"Feminino","1998"
"Masculino","1998"
"Feminino","1998"
"Feminino","1998"
"Feminino","1998"
"Masculino","1998"
"Masculino","1998"
"Feminino","1998"
"Masculino","1998"
"Masculino","1998"
"Masculino","1998"
"Feminino","1998"
"Feminino","1998"
"Masculino","1998"
"Feminino","1998"
"Feminino","1998"
"Masculino","1998"
"Feminino","1998"
"Masculino","1998"
"Masculino","1998"
"Masculino","1998"
"Masculino","1998"
"Feminino","1998"
"Masculino","1998"
"Masculino","1998"
"Masculino","1998"
"Feminino","1998"
"Feminino","1998"
"Masculino","1998"
"Masculino","1998"
"Masculino","1998"
"Feminino","1998"
"Feminino","1998"
"Masculino","1998"
"Feminino","1998"
"Masculino","1998"
"Feminino","1998"
"Masculino","1998"
"Feminino","1998"
"Masculino","1998"
"Masculino","1998"
"Feminino","1998"
"Masculino","1998"
"Feminino","1998"
"Feminino","1998"
"Masculino","1998"
"Masculino","1998"
"Feminino","1998"
"Masculino","1998"
"Masculino","1998"
"Feminino","1998"
"Feminino","1998"
"Masculino","1998"
"Masculino","1998"
"Feminino","1998"
"Feminino","1998"
"Masculino","1998"
"Masculino","1998"
"Masculino","1998"
"Feminino","1998"
"Masculino","1998"
"Masculino","1998"
"Feminino","1998"
"Masculino","1998"
"Feminino","1998"
"Masculino","1998"
"Feminino","1998"
"Feminino","1998"
"Feminino","1998"
"Feminino","1998"
"Masculino","1998"
"Masculino","1998"
"Masculino","1998"
"Feminino","1998"
"Masculino","1998"
"Masculino","1998"
"Masculino","1998"
"Feminino","1998"
"Masculino","1998"
"Feminino","1998"
"Feminino","1998"
"Feminino","1998"
"Masculino","1998"
"Feminino","1998"
"Feminino","1998"
"Masculino","1998"
"Masculino","1998"
"Masculino","1998"
"Masculino","1998"
"Masculino","1998"
"Masculino","1998"
"Feminino","1998"
"Feminino","1998"
"Masculino","1998"
"Masculino","1998"
"Feminino","1998"
"Masculino","1998"
"Masculino","1998"
"Masculino","1998"
"Masculino","1998"
"Masculino","1998"
"Masculino","1998"
"Masculino","1998"
"Masculino","1998"
"Feminino","1998"
"Feminino","1998"
"Masculino","1998"
"Feminino","1998"
"Feminino","1998"
"Feminino","1998"
"Masculino","1998"
"Masculino","1998"
"Masculino","1998"
"Feminino","1998"
"Feminino","1998"
"Masculino","1998"
"Feminino","1998"
"Masculino","1998"
"Masculino","1998"
"Masculino","1998"
"Masculino","1998"
"Feminino","1998"
"Masculino","1998"
"Masculino","1998"
"Masculino","1998"
"Masculino","1998"
"Masculino","1998"
"Masculino","1998"
"Feminino","1998"
"Masculino","1998"
"Masculino","1998"
"Masculino","1998"
"Masculino","1998"
"Feminino","1998"
"Masculino","1998"
"Feminino","1998"
"Masculino","1998"
"Feminino","1998"
"Masculino","1998"
"Masculino","1998"
"Masculino","1998"
"Feminino","1998"
"Masculino","1998"
"Feminino","1998"
"Masculino","1998"
"Feminino","1998"
"Feminino","1998"
"Masculino","1998"
"Masculino","1998"
"Masculino","1998"
"Masculino","1998"
"Masculino","1998"
"Feminino","1998"
"Masculino","1998"
"Masculino","1998"
"Feminino","1998"
"Masculino","1998"
"Feminino","1998"
"Feminino","1998"
"Masculino","1998"
"Feminino","1998"
"Masculino","1998"
"Masculino","1998"
"Feminino","1998"
"Masculino","1998"
"Feminino","1998"
"Masculino","1998"
"Masculino","1998"
"Masculino","1998"
"Masculino","1998"
"Masculino","1998"
"Masculino","1998"
"Feminino","1998"
"Masculino","1998"
"Masculino","1998"
"Feminino","1998"
"Feminino","1998"
"Masculino","1998"
"Masculino","1998"
"Feminino","1998"
"Feminino","1998"
"Masculino","1998"
"Feminino","1998"
"Feminino","1998"
"Masculino","1998"
"Masculino","1998"
"Masculino","1998"
"Masculino","1998"
"Masculino","1998"
"Masculino","1998"
"Masculino","1998"
"Masculino","1998"
"Masculino","1998"
"Feminino","1998"
"Feminino","1998"
"Masculino","1998"
"Feminino","1998"
"Masculino","1998"
"Masculino","1998"
"Masculino","1998"
"Feminino","1998"
"Masculino","1998"
"Masculino","1998"
"Feminino","1998"
"Masculino","1998"
"Feminino","1998"
"Masculino","1998"
"Masculino","1998"
"Masculino","1998"
"Feminino","1998"
"Feminino","1998"
"Masculino","1998"
"Masculino","1998"
"Masculino","1998"
"Masculino","1998"
"Masculino","1998"
"Masculino","1999"
"Masculino","1999"
"Masculino","1999"
"Feminino","1999"
"Masculino","1999"
"Feminino","1999"
"Masculino","1999"
"Masculino","1999"
"Feminino","1999"
"Feminino","1999"
"Feminino","1999"
"Feminino","1999"
"Feminino","1999"
"Feminino","1999"
"Masculino","1999"
"Masculino","1999"
"Masculino","1999"
"Feminino","1999"
"Masculino","1999"
"Feminino","1999"
"Masculino","1999"
"Feminino","1999"
"Masculino","1999"
"Masculino","1999"
"Masculino","1999"
"Feminino","1999"
"Masculino","1999"
"Feminino","1999"
"Masculino","1999"
"Feminino","1999"
"Feminino","1999"
"Masculino","1999"
"Feminino","1999"
"Feminino","1999"
"Masculino","1999"
"Feminino","1999"
"Masculino","1999"
"Masculino","1999"
"Masculino","1999"
"Masculino","1999"
"Feminino","1999"
"Feminino","1999"
"Feminino","1999"
"Feminino","1999"
"Masculino","1999"
"Masculino","1999"
"Feminino","1999"
"Masculino","1999"
"Masculino","1999"
"Masculino","1999"
"Masculino","1999"
"Feminino","1999"
"Masculino","1999"
"Feminino","1999"
"Masculino","1999"
"Masculino","1999"
"Feminino","1999"
"Masculino","1999"
"Masculino","1999"
"Feminino","1999"
"Feminino","1999"
"Masculino","1999"
"Feminino","1999"
"Feminino","1999"
"Masculino","1999"
"Feminino","1999"
"Masculino","1999"
"Feminino","1999"
"Masculino","1999"
"Masculino","1999"
"Feminino","1999"
"Masculino","1999"
"Feminino","1999"
"Masculino","1999"
"Masculino","1999"
"Feminino","1999"
"Feminino","1999"
"Feminino","1999"
"Feminino","1999"
"Masculino","1999"
"Feminino","1999"
"Masculino","1999"
"Feminino","1999"
"Feminino","1999"
"Masculino","1999"
"Masculino","1999"
"Masculino","1999"
"Masculino","1999"
"Masculino","1999"
"Feminino","1999"
"Masculino","1999"
"Feminino","1999"
"Masculino","1999"
"Masculino","1999"
"Masculino","1999"
"Masculino","1999"
"Masculino","1999"
"Feminino","1999"
"Feminino","1999"
"Feminino","1999"
"Masculino","1999"
"Masculino","1999"
"Masculino","1999"
"Feminino","1999"
"Feminino","1999"
"Masculino","1999"
"Feminino","1999"
"Feminino","1999"
"Masculino","1999"
"Masculino","1999"
"Feminino","1999"
"Masculino","1999"
"Feminino","1999"
"Feminino","1999"
"Feminino","1999"
"Masculino","1999"
"Masculino","1999"
"Masculino","1999"
"Feminino","1999"
"Masculino","1999"
"Masculino","1999"
"Feminino","1999"
"Feminino","1999"
"Masculino","1999"
"Masculino","1999"
"Masculino","1999"
"Feminino","1999"
"Feminino","1999"
"Feminino","1999"
"Masculino","1999"
"Masculino","1999"
"Masculino","1999"
"Masculino","1999"
"Feminino","1999"
"Masculino","1999"
"Masculino","1999"
"Masculino","1999"
"Masculino","1999"
"Masculino","1999"
"Feminino","1999"
"Masculino","1999"
"Masculino","1999"
"Feminino","1999"
"Feminino","1999"
"Feminino","1999"
"Feminino","1999"
"Masculino","1999"
"Masculino","1999"
"Masculino","1999"
"Masculino","1999"
"Masculino","1999"
"Masculino","1999"
"Masculino","1999"
"Feminino","1999"
"Masculino","1999"
"Masculino","1999"
"Feminino","1999"
"Masculino","1999"
"Masculino","1999"
"Feminino","1999"
"Feminino","1999"
"Feminino","1999"
"Masculino","1999"
"Feminino","1999"
"Masculino","1999"
"Masculino","1999"
"Masculino","1999"
"Masculino","1999"
"Masculino","1999"
"Masculino","1999"
"Feminino","1999"
"Feminino","1999"
"Masculino","1999"
"Masculino","1999"
"Masculino","1999"
"Masculino","1999"
"Masculino","1999"
"Masculino","1999"
"Feminino","1999"
"Feminino","1999"
"Feminino","1999"
"Masculino","1999"
"Masculino","1999"
"Masculino","1999"
"Masculino","1999"
"Feminino","1999"
"Masculino","1999"
"Masculino","1999"
"Masculino","1999"
"Masculino","1999"
"Masculino","1999"
"Masculino","1999"
"Masculino","1999"
"Masculino","1999"
"Feminino","1999"
"Masculino","1999"
"Feminino","1999"
"Feminino","1999"
"Masculino","1999"
"Masculino","1999"
"Feminino","1999"
"Masculino","1999"
"Feminino","1999"
"Masculino","1999"
"Feminino","1999"
"Masculino","1999"
"Feminino","1999"
"Feminino","1999"
"Masculino","1999"
"Feminino","1999"
"Masculino","1999"
"Masculino","1999"
"Feminino","1999"
"Masculino","1999"
"Feminino","1999"
"Masculino","1999"
"Feminino","1999"
"Masculino","1999"
"Feminino","2000"
"Feminino","2000"
"Masculino","2000"
"Masculino","2000"
"Masculino","2000"
"Feminino","2000"
"Masculino","2000"
"Feminino","2000"
"Masculino","2000"
"Feminino","2000"
"Masculino","2000"
"Feminino","2000"
"Feminino","2000"
"Feminino","2000"
"Feminino","2000"
"Feminino","2000"
"Masculino","2000"
"Masculino","2000"
"Feminino","2000"
"Masculino","2000"
"Masculino","2000"
"Masculino","2000"
"Masculino","2000"
"Masculino","2000"
"Feminino","2000"
"Masculino","2000"
"Masculino","2000"
"Masculino","2000"
"Masculino","2000"
"Masculino","2000"
"Feminino","2000"
"Feminino","2000"
"Masculino","2000"
"Masculino","2000"
"Feminino","2000"
"Feminino","2000"
"Feminino","2000"
"Feminino","2000"
"Masculino","2000"
"Masculino","2000"
"Feminino","2000"
"Masculino","2000"
"Feminino","2000"
"Masculino","2000"
"Masculino","2000"
"Feminino","2000"
"Masculino","2000"
"Masculino","2000"
"Masculino","2000"
"Masculino","2000"
"Feminino","2000"
"Feminino","2000"
"Feminino","2000"
"Masculino","2000"
"Masculino","2000"
"Masculino","2000"
"Masculino","2000"
"Feminino","2000"
"Masculino","2000"
"Masculino","2000"
"Feminino","2000"
"Masculino","2000"
"Masculino","2000"
"Feminino","2000"
"Masculino","2000"
"Masculino","2000"
"Feminino","2000"
"Masculino","2000"
"Masculino","2000"
"Masculino","2000"
"Masculino","2000"
"Feminino","2000"
"Masculino","2000"
"Masculino","2000"
"Masculino","2000"
"Masculino","2000"
"Masculino","2000"
"Masculino","2000"
"Feminino","2000"
"Feminino","2000"
"Masculino","2000"
"Masculino","2000"
"Masculino","2000"
"Masculino","2000"
"Feminino","2000"
"Masculino","2000"
"Masculino","2000"
"Masculino","2000"
"Feminino","2000"
"Masculino","2000"
"Masculino","2000"
"Feminino","2000"
"Feminino","2000"
"Masculino","2000"
"Masculino","2000"
"Masculino","2000"
"Feminino","2000"
"Masculino","2000"
"Feminino","2000"
"Feminino","2000"
"Feminino","2000"
"Masculino","2000"
"Masculino","2000"
"Masculino","2000"
"Feminino","2000"
"Masculino","2000"
"Feminino","2000"
"Feminino","2000"
"Masculino","2000"
"Feminino","2000"
"Masculino","2000"
"Masculino","2000"
"Masculino","2000"
"Masculino","2000"
"Feminino","2000"
"Feminino","2000"
"Feminino","2000"
"Feminino","2000"
"Feminino","2000"
"Masculino","2000"
"Feminino","2000"
"Masculino","2000"
"Masculino","2000"
"Masculino","2000"
"Masculino","2000"
"Masculino","2000"
"Masculino","2000"
"Masculino","2000"
"Masculino","2000"
"Masculino","2000"
"Masculino","2000"
"Masculino","2000"
"Feminino","2000"
"Feminino","2000"
"Masculino","2000"
"Feminino","2000"
"Masculino","2000"
"Masculino","2000"
"Masculino","2000"
"Feminino","2000"
"Feminino","2000"
"Feminino","2000"
"Masculino","2000"
"Masculino","2000"
"Feminino","2000"
"Masculino","2000"
"Masculino","2000"
"Feminino","2000"
"Masculino","2000"
"Masculino","2000"
"Feminino","2000"
"Masculino","2000"
"Masculino","2000"
"Masculino","2000"
"Feminino","2000"
"Feminino","2000"
"Masculino","2000"
"Feminino","2000"
"Feminino","2000"
"Feminino","2000"
"Masculino","2000"
"Feminino","2000"
"Feminino","2000"
"Feminino","2000"
"Masculino","2000"
"Masculino","2000"
"Masculino","2000"
"Masculino","2000"
"Feminino","2000"
"Masculino","2000"
"Masculino","2000"
"Masculino","2000"
"Feminino","2000"
"Masculino","2000"
"Masculino","2000"
"Feminino","2000"
"Feminino","2000"
"Feminino","2000"
"Feminino","2000"
"Masculino","2000"
"Feminino","2000"
"Feminino","2000"
"Masculino","2000"
"Feminino","2000"
"Feminino","2000"
"Feminino","2000"
"Feminino","2000"
"Masculino","2000"
"Masculino","2000"
"Masculino","2000"
"Feminino","2000"
"Masculino","2000"
"Feminino","2000"
"Masculino","2000"
"Masculino","2000"
"Masculino","2000"
"Masculino","2000"
"Masculino","2000"
"Masculino","2000"
"Feminino","2000"
"Feminino","2000"
"Feminino","2000"
"Feminino","2000"
"Masculino","2000"
"Masculino","2000"
"Masculino","2000"
"Feminino","2000"
"Feminino","2000"
"Masculino","2000"
"Feminino","2000"
"Masculino","2000"
"Feminino","2000"
"Feminino","2000"
"Masculino","2000"
"Masculino","2000"
